title,description,cost,license,app_type,origin,platform,supported_languages
Evo,"The last productivity app you'll ever need, combining events, reminders, mood tracker, notes & diary, habits, a focus timer, and more. MobileApps & Add-Ons",Pay once,Proprietary,"Journaling App, Todo List Manager",N/A,"Mac, iPhone, iPad",English
BreezeDoc,"Upload contracts and agreements for digital e-signing, mark where signatures or data are needed, choose single or multiple signers, use prebuilt or custom templates, send reminders, track activity logs, and receive completed documents automatically for efficient workflows.",Freemium (Pay once),Proprietary,E-signature Tool,United Kingdom,Online,English
RecurseChat,"RecurseChat is a personal AI app for chatting with local AI offline and privately. Chat with images, import ChatGPT history, perform advanced text search, and much more. Software",Pay once,Proprietary,AI Writing Tool,N/A,Mac,"English, Afrikaans, Amharic, Arabic, Bengali, Bulgarian, Catalan; Valencian, Chinese, Croatian, Czech, Danish, Dutch, Estonian, Finnish, French, German, Greek, Gujarati, Hebrew, Hindi, Hungarian, Indonesian, Italian, Japanese, Kannada, Korean, Lithuanian, Latvian, Malay, Malayalam, Marathi, Norwegian Bokmål, Persian, Polish, Portuguese, Romanian, Russian, Serbian, Slovak, Slovene, Spanish, Swahili, Swedish, Tamil, Telugu, Thai, Turkish, Ukrainian, Urdu, Vietnamese, ▾"
Layout Land,Dive into Layout Land to learn key concepts that Will help you get started on your Webflow journey.,Free,Proprietary,N/A,United States,"Online, Webflow",English
Mistral Vibe,"Conversational tool providing access to advanced AI models with real-time adjustable moderation, high performance, flexible multi-platform deployment, support for customization, privacy-focused controls, and educational features for interactive learning experiences. MachineLearning & Artificial Intelligence",Freemium (Subscription),Proprietary,"AI Chatbot, Large Language Model (LLM) Tool","France, EU","Online, Android, iPhone, Android Tablet, iPad, Software as a Service (SaaS)","English, Dutch, French, German, Italian, Polish, Portuguese, Spanish"
ScreenshotMagic,"AI-driven Mac application automatically batch-renames screenshots and images, streamlining organization with customizable naming, reducing clutter, and simplifying file management, making it easier to retrieve, sort, and handle large image libraries efficiently.",Free,Proprietary,File Renamer,"Sweden, EU",Mac,English
Layers,"Layers is a design community platform built by designers for designers. Share your work, connect with other designers and build your portfolio.",Free,Proprietary,"UI Design Tool, Graphic Design Tool",United States,Online,English
Twodos,"Twodos is a privacy-focused task management app featuring two main lists, ""Sooner"" and ""Later"", for effective task prioritization. Tasks are automatically added to the ""Sooner"" list and can be moved to the ""Later"" list as needed. MobileApps & Add-Ons",Free,Proprietary,"Todo List Manager, Task Management Tool",International,iPhone,English
Supermaven,Supermaven is a coding assistant that uses AI to help you write code faster. Breeze through code refactoring with Supermaven's fast and accurate suggestions.,Freemium (Subscription),Proprietary,AI Coding Assistant,United States,"Mac, Windows, Linux, Visual Studio Code, Neovim",English
AFFiNE,"Open-source, privacy-focused workspace combining note-taking, project and task management, Kanban board, interactive whiteboard, Pomodoro timer, Markdown support, offline access, real-time team collaboration with @mentions, goal tracking, subtasks, and customizable features. OpenSource",Freemium (Subscription),Proprietary,"Note-taking Tool, Todo List Manager",Singapore,"Mac, Windows, Linux, Online, Android, iPhone, Self-Hosted",English
WriteText.ai,"Enhance content creation with AI automation for product text, meta titles, and category insights, optimizing SEO for WooCommerce. Offers keyword strategies, multi-language support, and API integration with e-commerce systems. Includes features like Open Graph, image alt text, and unlimited site support.",Freemium (Pay once or Subscription),Proprietary,"SEO Tool, AI Writing Tool",Philippines,"Online, Shopify, Software as a Service (SaaS), Wordpress, Magento / Adobe Commerce, WooCommerce","English, Danish, Swedish, Norwegian, German, French, Portuguese, Spanish, Catalan; Valencian, Dutch, Italian, Croatian, Czech, Estonian, Finnish, Hungarian, Indonesian, Latvian, Lithuanian, Malay, Polish, Romanian, Slovak, Swahili, Tagalog, Turkish, Uzbek, Vietnamese, Slovene, Norwegian Bokmål, ▾"
Procaptcha,Prosopo Procaptcha redefines user verification with a unique approach that emphasizes privacy and security. It's a pioneering solution designed to offer an alternative to conventional CAPTCHA systems that often compromise user privacy. Technews updates,Freemium (Subscription),Open Source ( Apache-2.0 ),Anti-Spam Tool,United Kingdom,"Online, Software as a Service (SaaS), Wordpress",English
Snaptick,"Snaptick is a user-friendly app designed to boost your productivity by helping you organize and achieve your daily plans effortlessly. With a clean and easy-to-use interface, this app offers essential features like task creation and editing, task prioritization, a built-in... Mobileapp discovery",Free,Open Source ( GPL-3.0 ),"Todo List Manager, Task Management Tool",N/A,"Android, Android Tablet, F-Droid",English
Shiori Android Client,"Shiori is an innovative bookmark management application that revolutionizes the way users save, organize, and access their favorite web pages. Built upon the robust Shiori platform, Shiori offers a seamless experience across all devices. Software",Free,Open Source ( Apache-2.0 ),"Bookmark Manager, Read It Later Tool","Spain, EU",Android  ,English
Nvidia App,"The NVIDIA app updates your PC with the latest drivers and technology, optimizes games and applications through a unified GPU control center, provides recording tools via in-game overlay, and highlights the latest NVIDIA tools and software. Mobileapp discovery",Free,Proprietary,"Screen Recorder, Screenshot Capture Tool",United States,Windows,English
ScreenTime+,ScreenTime+ is an automatic time tracking app for mac. It helps you to see where you're spending your time on Mac via the menu bar.,Pay once,Proprietary,"Time Tracking Tool, Anti Procrastination Tool",United States,Mac,English
Google Gemma,"A family of lightweight, state-of-the art open models built from the same research and technology that we used to create the Gemini models.",Free Personal,Open Source ( Apache-2.0 ),"AI Chatbot, Large Language Model (LLM) Tool",United States,Windows,English
Findr,AI-powered search that works across apps. Get instant answers to all questions with references to your app sources. Mobileapp discovery,Freemium (Subscription),Proprietary,N/A,United States,"Online, Software as a Service (SaaS)",English
Apple Sports,"Your real-time scores and stats app, fast and simple.",Free,Proprietary,Live Score App,United States,iPhone,"English, French, Spanish"
GodSVG,"Interactive vector editor built with Godot for creating or editing SVG files, featuring UI-based element manipulation, live code updates, direct markup access, no added metadata, minimal abstraction, clean output, and intended use on desktop plus mobile devices.",Free,Open Source ( MIT ),Vector Graphic App,N/A,"Mac  , Windows, Linux, Online  , Android",English
Fossify Voice Recorder,Introducing Fossify Voice Recorder – where capturing crystal-clear audio and preserving precious moments is effortless and enjoyable. Seamlessly blend simplicity with functionality as you embark on a journey of seamless recording experiences tailored to your needs.,Free,Open Source ( GPL-3.0 ),Audio Recorder,India,"Android, F-Droid, Android Tablet",English
TidyCal,"Web-based scheduling platform offering unlimited meeting booking types, seamless calendar, video conferencing, and payment integrations, cross-timezone support, easy setup, embeddable booking pages, API automations, mobile-friendly interface, and notifications.",Freemium (Pay once),Proprietary,Appointment Scheduler,United Kingdom,"Online, Software as a Service (SaaS)",English
Quillow,Say good-bye to boring link-in-bios. Build a micro-site that can do everything and more.,Free,Proprietary,Website Builder,United Kingdom,Online  ,English
Open WebUI,"Feature-rich offline AI platform with support for Ollama and OpenAI-compatible APIs, retrieval-augmented generation, text-to-image, cloud sync, privacy focus, ad-free experience, distraction-free and dark modes, no registration, easy deployment, and customizable UI.",Free,Open Source,"AI Chatbot, Large Language Model (LLM) Tool",United States,"Online, Self-Hosted, Cloudron, Docker","English, Arabic, Bengali, Bulgarian, Catalan; Valencian, German, Basque, Danish, Spanish, Persian, Finnish, French, Greek, Hebrew, Hindi, Croatian, Hungarian, Indonesian, Irish, Italian, Japanese, Georgian, Korean, Lithuanian, Malay, Norwegian Bokmål, Dutch, Panjabi, Punjabi, Polish, Portuguese, Romanian, Russian, Slovak, Swedish, Serbian, Thai, Turkmen, Ukrainian, Urdu, Vietnamese, Chinese, ▾"
Bulletin AI News,"Bulletin is a beautiful RSS news reader app built with macOS design guidelines in mind, and supercharged with powerful AI capabilities.",Freemium (Pay once or Subscription),Proprietary,"RSS Reader, News Reader",United Kingdom,"Mac, iPhone, iPad, Apple Watch, visionOS",English
Astropad Slate,Control your Mac using your iPad and Apple Pencil.,Pay once,Proprietary,N/A,United States,"Mac, iPad",English
